tweet,intent,human_reply,escalation
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
Delivery driver threw my fragile package over the 6-foot fence! Contents are shattered.,Delivery Problem,We hold our delivery partners to high service standards. Please DM us your tracking number and photos of the package so we can escalate this to the dispatch manager. ^ST,AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
Package delivered to wrong address down the street. Driver didn't even check the house number.,Delivery Problem,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG,AUTO_HANDLE
"Courier marked customer unavailable, but I waited home all day. Nobody even rang the bell.",Delivery Problem,We're sorry for the inconvenience! Please DM us your tracking details and best contact number so we can instruct the local delivery hub to re-attempt today. ^MN,AUTO_HANDLE
Package delivered to wrong address down the street. Driver didn't even check the house number.,Delivery Problem,We apologize for the delivery error. Please DM us your order number and full delivery address so we can retrieve or replace your package immediately. ^FG,AUTO_HANDLE
"App says delivered to front porch at 2 PM, but I was home and nothing was delivered. Package missing!",Delivery Problem,"Sometimes carriers mark items delivered prematurely. Please check around your property or with neighbors. If it doesn't show up in 24 hours, DM us. ^AB",AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Return Request,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,AUTO_HANDLE
The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Return Request,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,AUTO_HANDLE
How do I return an item that doesn't fit? Where do I get the return shipping label?,Return Request,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,AUTO_HANDLE
The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Return Request,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Return Request,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,AUTO_HANDLE
How do I return an item that doesn't fit? Where do I get the return shipping label?,Return Request,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,AUTO_HANDLE
The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Return Request,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,AUTO_HANDLE
How do I return an item that doesn't fit? Where do I get the return shipping label?,Return Request,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,AUTO_HANDLE
The courier didn't come to pick up the return package today as scheduled. Please reschedule.,Return Request,Sorry for the missed return pickup! Please DM us your pickup tracking ID and preferred date/time slot so we can rebook the courier for you. ^RT,AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
How do I return an item that doesn't fit? Where do I get the return shipping label?,Return Request,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,AUTO_HANDLE
How do I return an item that doesn't fit? Where do I get the return shipping label?,Return Request,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,AUTO_HANDLE
Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Return Request,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,AUTO_HANDLE
How do I return an item that doesn't fit? Where do I get the return shipping label?,Return Request,You can initiate a return by visiting Your Orders -> Return or Replace Items to print a prepaid label or generate a QR drop-off code. DM us if you need help! ^AB,AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Return Request,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,AUTO_HANDLE
Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Return Request,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,AUTO_HANDLE
The return window closed yesterday by 1 day. Is there any way I can still return this unused item?,Return Request,We can check if an exception can be made for you. Please DM us your order number and reason for return so an agent can review your account. ^WE,AUTO_HANDLE
Can I drop off my Amazon return at Kohl's or Whole Foods without a box or label?,Return Request,Yes! Most returns can be dropped off packaging-free at participating Kohl's or Whole Foods with your return QR code. DM us if you'd like us to confirm eligibility. ^JH,AUTO_HANDLE
Can I change the delivery address on an order that hasn't shipped yet?,Other,"If the order hasn't entered the shipping process, you can update the address in Your Orders. If it has shipped, DM us your order ID to see if rerouting is possible. ^GB",AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
Are you having a sale on Echo Dot devices next week for Prime Day?,Other,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB",AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
Can I change the delivery address on an order that hasn't shipped yet?,Other,"If the order hasn't entered the shipping process, you can update the address in Your Orders. If it has shipped, DM us your order ID to see if rerouting is possible. ^GB",AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
Are you having a sale on Echo Dot devices next week for Prime Day?,Other,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB",AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
Can I change the delivery address on an order that hasn't shipped yet?,Other,"If the order hasn't entered the shipping process, you can update the address in Your Orders. If it has shipped, DM us your order ID to see if rerouting is possible. ^GB",AUTO_HANDLE
Are you having a sale on Echo Dot devices next week for Prime Day?,Other,"We don't announce promotional deals in advance, but keep an eye on our Today's Deals page at amzn.to/deals for the latest announcements! ^AB",AUTO_HANDLE
Does Amazon Prime membership include Kindle Unlimited books?,Other,"Prime includes Prime Reading (a rotating catalog of books and magazines), while Kindle Unlimited is a separate subscription with a wider catalog. DM if you have questions! ^OP",AUTO_HANDLE
I need an invoice copy for my business expense reimbursement from last month.,Other,You can download official VAT/GST invoices directly from Your Orders -> Order Details -> Invoice. DM us your order number if you encounter any issue! ^KL,AUTO_HANDLE
